species	superfamily	family	genus	species_name
Chelydra serpentina	Reptilia	Chelydra	Chelydra	serpentina
Didelphis virginiana	Mammalia/Aves	Didelphis	Didelphis	virginiana
Juglans nigra	Plantae	Juglans	Juglans	nigra
Juglans regia	Plantae	Juglans	Juglans	regia
Meleagris gallopavo	Mammalia/Aves	Meleagris	Meleagris	gallopavo
Morchella conica CCBAS932	Plantae	Morchella	Morchella	conica CCBAS932
Morchella spongiola	Plantae	Morchella	Morchella	spongiola
Odocoileus virginianus texanus	Mammalia/Aves	Odocoileus	Odocoileus	virginianus texanus
Odocoileus virginianus virginianus	Mammalia/Aves	Odocoileus	Odocoileus	virginianus virginianus
Perca flavescens	Actinopterygii	Perca	Perca	flavescens
Salmo trutta	Actinopterygii	Salmo	Salmo	trutta
Zea mays	Plantae	Zea	Zea	mays
