Species	Genus	Common_Name
Phaseolus_vulgaris	Phaseolus	Common bean
Phaseolus_lunatus	Phaseolus	Lima bean
Zea_mays	Zea	Maize
Helianthus_annuus	Helianthus	Sunflower
Chenopodium_quinoa	Chenopodium	Quinoa (proxy for C. berlandieri)
Cucurbita_pepo	Cucurbita	Squash/pumpkin
Cucurbita_maxima	Cucurbita	Winter squash
Amaranthus_hypochondriacus	Amaranthus	Amaranth
Zizania_palustris	Zizania	Wild rice
Juglans_nigra	Juglans	Black walnut
Carya_illinoinensis	Carya	Pecan (proxy for hickory)
Helianthus_tuberosus	Helianthus	Jerusalem artichoke
